	Series1_NHBE_Mock_1	Series1_NHBE_Mock_2	Series1_NHBE_Mock_3	Series9_NHBE_Mock_1	Series9_NHBE_Mock_2	Series9_NHBE_Mock_3	Series9_NHBE_Mock_4	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3	Series9_NHBE_IAV_1	Series9_NHBE_IAV_2	Series9_NHBE_IAV_3	Series9_NHBE_IAV_4	Series9_NHBE_IAVdNS1_1	Series9_NHBE_IAVdNS1_2	Series9_NHBE_IAVdNS1_3	Series9_NHBE_IAVdNS1_4	Series2_A549_Mock_1	Series2_A549_Mock_2	Series2_A549_Mock_3	Series3_A549_Mock_1	Series3_A549_Mock_2	Series4_A549_Mock_1	Series4_A549_Mock_2	Series5_A549_Mock_1	Series5_A549_Mock_2	Series5_A549_Mock_3	Series8_A549_Mock_1	Series8_A549_Mock_2	Series8_A549_Mock_3	Series2_A549_SARS-CoV-2_1	Series2_A549_SARS-CoV-2_2	Series2_A549_SARS-CoV-2_3	Series5_A549_SARS-CoV-2_1	Series5_A549_SARS-CoV-2_2	Series5_A549_SARS-CoV-2_3	Series4_A549_IAV_1	Series4_A549_IAV_2	Series3_A549_RSV_1	Series3_A549_RSV_2	Series8_A549_HPIV3_3	Series8_A549_HPIV3_2	Series8_A549_HPIV3_1	Series7_Calu3_Mock_1	Series7_Calu3_Mock_2	Series7_Calu3_Mock_3	Series7_Calu3_SARS-CoV-2_1	Series7_Calu3_SARS-CoV-2_2	Series7_Calu3_SARS-CoV-2_3	Series15_HealthyLungBiopsy_2	Series15_HealthyLungBiopsy_1	Series15_COVID19Lung_2	Series15_COVID19Lung_1
TNFRSF9	2.0794415416798357	2.3978952727983707	2.1972245773362196	1.791759469228055	0.6931471805599453	0.6931471805599453	0.0	1.9459101490553132	1.791759469228055	2.70805020110221	4.663439094112067	2.995732273553991	1.3862943611198906	1.3862943611198906	2.3978952727983707	2.3978952727983707	3.871201010907891	3.367295829986474	4.454347296253507	3.58351893845611	3.1354942159291497	3.6375861597263857	3.5553480614894135	1.9459101490553132	3.044522437723423	3.8066624897703196	3.9512437185814275	3.784189633918261	2.1972245773362196	2.4849066497880004	2.3978952727983707	4.584967478670572	4.330733340286331	4.174387269895637	5.3706380281276624	5.497168225293202	5.966146739123692	2.4849066497880004	2.302585092994046	3.2188758248682006	2.70805020110221	4.406719247264253	4.290459441148391	4.51085950651685	2.3978952727983707	0.6931471805599453	2.4849066497880004	5.272999558563747	4.804021044733257	5.375278407684165	3.8066624897703196	5.978885764901122	0.0	0.0
ERRFI1	7.451241684987676	7.327123292259293	7.888709524182015	6.3578422665081	6.401917196727186	6.870053411798126	7.60339933974067	7.457609289715606	7.640123172695364	8.682877107057168	8.52377150677636	6.9930151229329605	7.122866658599083	6.419994928147142	7.79934339821592	7.202661196523238	8.37770121259764	8.166216268592143	7.64826303090192	7.075808863978387	6.80128303447162	7.872073979866873	8.122668023346407	5.8888779583328805	6.668228248417403	7.469083884921234	7.460490305825338	7.387090235656757	3.4657359027997265	5.8971538676367405	6.71174039505618	8.130942302231878	7.842671474979457	7.553286605600419	8.114025442356757	9.015784277513886	8.671629544720656	6.720220155135295	5.3706380281276624	7.284134806195205	6.648984550024776	7.306531398939505	7.010311867307229	7.5740450053721995	6.246106765481563	6.642486801367256	7.639161171659173	7.953669778649798	7.587817219993427	8.001689978099135	7.855932199718614	10.107203606184239	2.5649493574615367	0.0
PIK3CD	5.762051382780177	5.572154032177765	6.173786103901937	5.327876168789581	5.117993812416755	5.365976015021851	6.042632833682381	5.8522024797744745	5.752572638825633	6.851184927493743	7.29505641646263	5.700443573390687	5.198497031265826	4.394449154672439	6.180016653652572	5.981414211254481	5.746203190540153	5.8805329864007	5.863631175598097	5.3706380281276624	5.093750200806762	5.786897381366708	5.4680601411351315	4.248495242049359	4.927253685157205	5.872117789475416	5.683579767338681	5.659482215759621	3.258096538021482	4.406719247264253	4.990432586778736	6.0112671744041615	6.016157159698354	5.7745515455444085	6.259581464064923	6.505784060128229	6.955592608396297	4.418840607796598	3.6888794541139363	4.605170185988092	4.394449154672439	5.10594547390058	4.997212273764115	5.123963979403259	3.9889840465642745	4.276666119016055	5.159055299214529	5.093750200806762	4.31748811353631	5.0369526024136295	5.926926025970411	7.3987862754199485	3.1354942159291497	0.0
NMNAT1	5.976350909297934	5.863631175598097	6.4457198193855785	4.718498871295094	4.718498871295094	5.342334251964811	5.976350909297934	5.937536205082426	5.988961416889864	7.10085190894405	6.464588303689961	5.075173815233827	5.176149732573829	4.477336814478207	5.707110264748875	5.135798437050262	5.288267030694535	5.680172609017068	4.962844630259907	4.430816798843313	4.143134726391533	4.890349128221754	4.969813299576001	3.258096538021482	4.394449154672439	4.672828834461906	4.7535901911063645	4.7535901911063645	2.995732273553991	3.6375861597263857	4.1588830833596715	5.3612921657094255	4.919980925828125	4.804021044733257	5.111987788356544	5.0238805208462765	5.726847747587197	3.970291913552122	2.4849066497880004	3.4657359027997265	3.091042453358316	4.762173934797756	4.127134385045092	4.77912349311153	4.0943445622221	4.653960350157523	5.3612921657094255	4.6913478822291435	4.174387269895637	4.787491742782046	3.8918202981106265	4.07753744390572	0.0	0.6931471805599453
RBP7	1.6094379124341003	1.791759469228055	3.091042453358316	1.6094379124341003	1.9459101490553132	1.9459101490553132	2.6390573296152584	2.4849066497880004	2.6390573296152584	3.4011973816621555	2.5649493574615367	1.3862943611198906	1.6094379124341003	0.0	1.9459101490553132	1.791759469228055	1.791759469228055	2.772588722239781	3.4657359027997265	2.8903717578961645	1.791759469228055	1.3862943611198906	1.9459101490553132	0.0	0.6931471805599453	3.4965075614664802	3.4011973816621555	3.5553480614894135	2.995732273553991	1.9459101490553132	2.302585092994046	3.970291913552122	4.189654742026425	3.4657359027997265	4.007333185232471	4.174387269895637	4.997212273764115	1.791759469228055	0.6931471805599453	1.6094379124341003	0.6931471805599453	2.70805020110221	2.772588722239781	3.2188758248682006	2.6390573296152584	2.995732273553991	3.6109179126442243	3.332204510175204	2.833213344056216	4.07753744390572	6.115892125483034	3.091042453358316	1.9459101490553132	1.6094379124341003
FBLIM1	7.915348169263078	7.7664168980196555	8.183118079394745	7.204892510204673	7.20934025660291	7.322510433997394	7.925518979786926	7.859413154693583	7.796469243086058	8.866299565855018	8.952734767106872	7.412160334945205	6.966967138613983	6.263398262591624	7.714677473800927	7.358193752733032	7.110696122978827	7.5652752818989315	6.654152520183219	6.150602768446279	5.834810737062605	6.647688373563329	6.393590753950631	4.762173934797756	5.342334251964811	6.637258031284457	6.520621127558696	6.285998094508865	5.111987788356544	5.236441962829949	5.762051382780177	6.900730664045173	6.769641976852503	6.612041034833092	6.917705609835305	6.813444599510896	7.399398083331354	4.51085950651685	4.31748811353631	5.583496308781699	5.209486152841421	5.91350300563827	5.886104031450156	5.863631175598097	4.8283137373023015	5.579729825986222	6.4692503167957724	6.161207321695077	5.236441962829949	6.1070228877422545	7.217443431696533	6.115892125483034	2.995732273553991	0.0
EPHA2	7.543273346705446	7.518607216815252	7.869783902530146	7.418180822726788	7.433666540166168	7.684324067681155	8.283241441385425	7.917900586327916	7.575071699507561	8.759197750371365	9.421573272264558	7.9269635448629785	7.615298339825815	7.028201432058005	8.224699561967235	7.897296472595885	8.219864741912652	8.3243363327069	8.426611813185	7.862497197230545	7.569927655242652	8.097730573664219	7.787796878181171	6.587550014824796	7.112327444710911	8.058960017769417	8.026170194946426	7.8961806086154915	5.780743515792329	6.97166860472579	7.283448228756631	8.582418976333944	8.553910774351401	8.343791731996841	8.429235912657095	8.269500767180615	8.977146484808472	7.068172000388042	6.343880434126331	7.134093721192866	6.827629234502852	8.183397369998433	8.143226750367445	8.067149039910106	7.107425474110705	7.81035268372429	8.677780256064185	8.794370279222871	7.926602599181384	8.79300509129753	6.617402977974478	8.831711917821577	2.772588722239781	0.0
SPATA21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.302585092994046	2.0794415416798357	0.6931471805599453	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	0.6931471805599453	0.6931471805599453	0.6931471805599453	1.0986122886681098	1.0986122886681098	2.302585092994046	0.0	0.6931471805599453	0.0	1.3862943611198906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	1.791759469228055	2.0794415416798357	0.0	0.0
LOC100506801	0.6931471805599453	0.0	1.0986122886681098	0.0	0.6931471805599453	0.6931471805599453	0.0	0.6931471805599453	1.0986122886681098	1.791759469228055	2.6390573296152584	0.0	0.0	0.0	0.6931471805599453	0.6931471805599453	0.6931471805599453	1.0986122886681098	3.091042453358316	2.4849066497880004	2.4849066497880004	3.6375861597263857	3.6109179126442243	1.6094379124341003	1.6094379124341003	2.70805020110221	2.833213344056216	2.70805020110221	1.0986122886681098	1.3862943611198906	1.3862943611198906	3.1354942159291497	3.091042453358316	3.044522437723423	3.912023005428146	4.02535169073515	4.859812404361672	1.791759469228055	0.6931471805599453	2.5649493574615367	2.833213344056216	2.5649493574615367	2.302585092994046	2.302585092994046	0.0	0.6931471805599453	0.0	2.6390573296152584	2.1972245773362196	2.302585092994046	2.8903717578961645	3.784189633918261	0.0	0.0
LUZP1	7.980365765111246	7.803843303538772	8.3654396361887	6.51025834052315	6.472346294500901	6.336825731146441	7.106606137727303	7.887959336599945	7.909856667269403	8.977525200965243	8.595264726836392	7.210079628170788	6.9584483932976555	6.345636360828596	6.980075940561763	6.570882962339584	7.264730177929867	6.57507584059962	7.668561108015897	6.976348070447749	6.933423025730715	6.0330862217988015	5.973809611869261	5.707110264748875	6.413458957167357	7.304515946460155	7.220373836723949	7.205635176410364	4.2626798770413155	6.023447592961033	6.584791392385716	7.766840537085513	7.576097340623111	7.432483807917119	7.782807262839695	7.731053144007127	8.186185994226083	6.338594078203183	4.8283137373023015	5.19295685089021	4.770684624465665	7.079184394609668	7.023758954738443	7.20414929203594	5.231108616854587	5.645446897643238	6.807934943699926	6.4457198193855785	5.713732805509369	6.448889394146858	6.771935555839602	8.297294370266917	1.6094379124341003	0.0
