	Series1_NHBE_Mock_1	Series1_NHBE_Mock_2	Series1_NHBE_Mock_3	Series9_NHBE_Mock_1	Series9_NHBE_Mock_2	Series9_NHBE_Mock_3	Series9_NHBE_Mock_4	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3	Series9_NHBE_IAV_1	Series9_NHBE_IAV_2	Series9_NHBE_IAV_3	Series9_NHBE_IAV_4	Series9_NHBE_IAVdNS1_1	Series9_NHBE_IAVdNS1_2	Series9_NHBE_IAVdNS1_3	Series9_NHBE_IAVdNS1_4	Series2_A549_Mock_1	Series2_A549_Mock_2	Series2_A549_Mock_3	Series3_A549_Mock_1	Series3_A549_Mock_2	Series4_A549_Mock_1	Series4_A549_Mock_2	Series5_A549_Mock_1	Series5_A549_Mock_2	Series5_A549_Mock_3	Series8_A549_Mock_1	Series8_A549_Mock_2	Series8_A549_Mock_3	Series2_A549_SARS-CoV-2_1	Series2_A549_SARS-CoV-2_2	Series2_A549_SARS-CoV-2_3	Series5_A549_SARS-CoV-2_1	Series5_A549_SARS-CoV-2_2	Series5_A549_SARS-CoV-2_3	Series4_A549_IAV_1	Series4_A549_IAV_2	Series3_A549_RSV_1	Series3_A549_RSV_2	Series8_A549_HPIV3_3	Series8_A549_HPIV3_2	Series8_A549_HPIV3_1	Series7_Calu3_Mock_1	Series7_Calu3_Mock_2	Series7_Calu3_Mock_3	Series7_Calu3_SARS-CoV-2_1	Series7_Calu3_SARS-CoV-2_2	Series7_Calu3_SARS-CoV-2_3	Series15_HealthyLungBiopsy_2	Series15_HealthyLungBiopsy_1	Series15_COVID19Lung_2	Series15_COVID19Lung_1
MIR200B	0.0	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	1.3862943611198906	0.6931471805599453	1.0986122886681098	0.6931471805599453	0.0	0.0	0.6931471805599453	1.3862943611198906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	0.0	0.0	0.0	1.0986122886681098	1.0986122886681098	0.6931471805599453	1.0986122886681098	0.0	0.0	0.0	0.0
TMEM52	0.0	1.9459101490553132	0.6931471805599453	0.6931471805599453	1.0986122886681098	1.3862943611198906	1.3862943611198906	1.6094379124341003	1.0986122886681098	2.3978952727983707	1.0986122886681098	0.6931471805599453	0.6931471805599453	0.6931471805599453	1.0986122886681098	1.0986122886681098	1.6094379124341003	1.6094379124341003	1.9459101490553132	0.0	0.6931471805599453	2.4849066497880004	2.833213344056216	0.6931471805599453	1.0986122886681098	2.1972245773362196	1.9459101490553132	1.9459101490553132	0.6931471805599453	1.3862943611198906	1.3862943611198906	2.0794415416798357	2.9444389791664403	1.9459101490553132	1.9459101490553132	2.302585092994046	3.091042453358316	1.3862943611198906	1.3862943611198906	1.0986122886681098	1.3862943611198906	1.0986122886681098	0.6931471805599453	1.6094379124341003	1.3862943611198906	2.9444389791664403	3.871201010907891	1.791759469228055	1.0986122886681098	1.3862943611198906	2.995732273553991	2.4849066497880004	0.0	0.0
TNFRSF14	4.394449154672439	4.653960350157523	4.663439094112067	3.295836866004329	3.367295829986474	4.110873864173311	4.418840607796598	4.330733340286331	4.060443010546419	5.043425116919247	5.247024072160486	2.8903717578961645	3.7612001156935624	2.4849066497880004	4.736198448394496	4.343805421853684	4.290459441148391	5.181783550292085	0.6931471805599453	0.6931471805599453	0.0	2.4849066497880004	2.833213344056216	0.0	0.6931471805599453	0.6931471805599453	1.3862943611198906	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	1.0986122886681098	0.0	1.6094379124341003	0.0	0.0	1.6094379124341003	2.0794415416798357	1.3862943611198906	1.3862943611198906	1.791759469228055	4.48863636973214	5.19295685089021	5.950642552587727	5.796057750765372	5.19295685089021	5.968707559985366	7.4949862339505335	8.16735198705607	2.3978952727983707	1.0986122886681098
CEP104	6.38856140554563	6.137727054086234	6.693323668269949	5.501258210544727	5.278114659230517	5.41610040220442	6.124683390894205	6.192362489474872	6.236369590203704	7.242797922793756	7.231287004327616	5.91350300563827	5.886104031450156	5.204006687076795	5.996452088619021	5.517452896464707	6.129050210060545	5.937536205082426	6.555356891810665	5.968707559985366	5.780743515792329	6.175867270105761	6.104793232414985	4.948759890378168	5.638354669333745	6.300785794663244	6.202535517187923	6.137727054086234	4.330733340286331	5.0369526024136295	5.627621113690637	6.62273632394984	6.516193076042964	6.236369590203704	6.345636360828596	6.440946540632921	6.974478911025045	5.697093486505405	4.219507705176107	5.0106352940962555	4.31748811353631	6.07993319509559	5.991464547107982	6.327936783729195	4.919980925828125	5.5909869805108565	6.53813982376767	5.908082938168931	5.247024072160486	5.84354441703136	5.272999558563747	5.834810737062605	0.0	0.0
KCNAB2	3.4657359027997265	3.4965075614664802	4.02535169073515	0.0	0.6931471805599453	0.6931471805599453	1.0986122886681098	3.5553480614894135	3.332204510175204	4.465908118654584	2.70805020110221	1.0986122886681098	2.4849066497880004	1.0986122886681098	0.6931471805599453	1.0986122886681098	1.9459101490553132	1.9459101490553132	6.583409222158765	6.016157159698354	5.849324779946859	6.762729506931879	6.309918278226516	5.327876168789581	5.937536205082426	6.541029999189903	6.492239835020471	6.3818160174060985	4.804021044733257	5.389071729816501	5.849324779946859	6.569481420414296	6.450470422144176	6.139884552226255	5.921578419643816	5.793013608384144	6.597145701886651	5.54907608489522	4.174387269895637	5.159055299214529	4.770684624465665	5.4638318050256105	5.5909869805108565	5.337538079701318	4.394449154672439	4.727387818712341	5.662960480135946	4.442651256490317	3.871201010907891	4.465908118654584	6.327936783729195	6.295266001439646	0.0	0.0
CHD5	0.6931471805599453	1.3862943611198906	1.9459101490553132	0.0	0.0	0.0	1.3862943611198906	0.0	1.791759469228055	1.9459101490553132	3.091042453358316	1.9459101490553132	0.0	0.0	0.6931471805599453	0.0	1.3862943611198906	1.791759469228055	3.8501476017100584	3.5263605246161616	3.4965075614664802	2.302585092994046	2.3978952727983707	2.4849066497880004	2.8903717578961645	4.143134726391533	3.9889840465642745	3.9512437185814275	1.6094379124341003	2.0794415416798357	2.302585092994046	4.3694478524670215	4.248495242049359	4.02535169073515	3.6635616461296463	4.30406509320417	4.68213122712422	2.1972245773362196	1.9459101490553132	1.3862943611198906	1.791759469228055	3.091042453358316	2.8903717578961645	2.9444389791664403	0.0	1.0986122886681098	1.791759469228055	1.791759469228055	0.6931471805599453	2.0794415416798357	3.6109179126442243	2.3978952727983707	0.0	0.0
RPL22	8.33110454805304	8.12415060330663	8.73020559553099	7.537962659768208	7.6511201757027	7.7354333524996886	8.352318548226004	8.275376374836407	8.376781037699493	9.392078425231722	8.806723554725636	7.3395376954076745	7.466799475018602	6.881411303642535	8.063377822367027	7.419979923661835	7.527255919373784	8.455743229100015	8.626764827845529	8.034631032923107	7.8399193600125825	9.195531256322475	8.977146484808472	7.05617528410041	8.045908742270779	8.360071435644025	8.245384468120747	8.505120610181969	7.366445148327599	7.177782416195197	7.780303087908373	9.090542808520587	8.857515151192198	8.37793112408273	8.457230850243555	8.521185212685776	9.183174703903413	7.7475968386928855	6.336825731146441	7.844632644464681	7.644440761556566	8.138856750696325	8.030084094267563	8.301521654940728	7.585788821732034	8.272315147956022	8.940629184845639	8.31434234336979	7.8724551500639794	8.25608813381491	8.937875265329263	8.909505512946101	5.420534999272286	2.4849066497880004
PHF13	5.37989735354046	5.176149732573829	5.730099782973574	4.382026634673881	4.30406509320417	4.624972813284271	5.351858133476067	5.0689042022202315	5.318119993844216	6.180016653652572	6.18826412308259	4.762173934797756	5.14166355650266	4.127134385045092	5.220355825078324	4.955827057601261	4.962844630259907	5.043425116919247	5.993961427306569	5.4510384535657	5.198497031265826	5.808142489980444	5.8377304471659395	3.9512437185814275	4.6443908991413725	5.937536205082426	5.87493073085203	5.749392985908253	3.1354942159291497	4.59511985013459	5.056245805348308	6.251903883165888	6.040254711277414	5.857933154483459	5.973809611869261	5.958424693029782	6.424869023905388	4.189654742026425	3.367295829986474	4.804021044733257	4.343805421853684	5.003946305945459	5.062595033026967	5.087596335232384	5.262690188904886	5.869296913133774	6.733401891837359	5.973809611869261	5.3981627015177525	6.171700597410915	6.0063531596017325	7.508787170634276	0.6931471805599453	0.0
CA6	0.0	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	0.6931471805599453	0.6931471805599453	1.0986122886681098	1.0986122886681098	0.0	1.3862943611198906	0.6931471805599453	0.0	0.6931471805599453	0.0	0.6931471805599453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0986122886681098	0.0	0.0	0.0	1.0986122886681098	1.0986122886681098	1.6094379124341003	0.6931471805599453	0.0	0.6931471805599453	0.0	1.6094379124341003	0.0	0.0
TNFRSF8	0.0	0.0	0.0	0.0	0.6931471805599453	0.0	1.0986122886681098	0.0	0.0	0.0	0.6931471805599453	0.6931471805599453	0.0	0.0	0.6931471805599453	0.0	0.6931471805599453	1.3862943611198906	0.6931471805599453	0.6931471805599453	0.0	0.0	0.0	0.0	0.0	0.6931471805599453	0.6931471805599453	0.0	0.0	0.0	0.0	0.6931471805599453	0.6931471805599453	0.0	1.0986122886681098	0.0	0.6931471805599453	0.0	1.0986122886681098	0.0	0.0	1.6094379124341003	1.9459101490553132	1.791759469228055	0.0	0.0	0.0	1.3862943611198906	0.6931471805599453	1.3862943611198906	3.9889840465642745	4.248495242049359	0.0	0.0
