,A549 SARS-CoV-2,A549 SARS-CoV-2,A549 SARS-CoV-2,A549 RSV,A549 RSV,A549 RSV
,count,p-value,c-score,count,p-value,c-score
epidermis development (GO:0008544),0.54,1.83E-04,1.44E+03,1.00,4.96E-06,7.01E+02
cellular response to interferon-gamma (GO:0071346),0.66,1.15E-07,5.61E+02,0.85,1.15E-07,2.91E+02
cytokine-mediated signaling pathway (GO:0019221),1.00,6.95E-03,6.06E+05,0.74,6.95E-03,9.57E+01
inflammatory response (GO:0006954),0.45,5.30E-05,6.46E+02,0.97,1.23E-07,2.33E+02
interferon-gamma-mediated signaling pathway (GO:0060333),0.54,1.03E-03,6.97E+02,0.74,1.03E-03,2.19E+02
antigen receptor-mediated signaling pathway (GO:0050851),0.49,6.48E-06,8.87E+01,0.68,2.38E-04,8.87E+01
"complement activation, classical pathway (GO:0006958)",0.39,6.59E-03,8.66E+03,0.91,4.52E-05,8.66E+03
skin development (GO:0043588),0.46,9.85E-04,3.80E+02,0.71,8.82E-06,3.80E+02
cellular response to cytokine stimulus (GO:0071345),0.61,2.50E-04,6.55E+05,0.41,5.74E-05,8.36E+01
chemokine-mediated signaling pathway (GO:0070098),0.39,6.02E-05,3.99E+03,0.76,6.02E-05,5.04E+02
humoral immune response mediated by circulating immunoglobulin (GO:0002455),0.37,8.06E-05,5.89E+03,0.91,8.06E-05,5.89E+03
positive regulation of response to external stimulus (GO:0032103),0.39,3.65E-03,5.26E+02,0.56,3.65E-03,1.43E+02
epidermal cell differentiation (GO:0009913),0.36,9.67E-04,9.29E+02,0.88,1.21E-07,9.29E+02
keratinocyte differentiation (GO:0030216),0.36,1.51E-03,1.29E+03,0.85,1.31E-06,1.29E+03
regulation of immune response (GO:0050776),0.34,3.64E-07,7.11E+02,0.94,3.06E-09,7.11E+02
cellular response to chemokine (GO:1990869),0.36,8.06E-05,3.65E+03,0.68,8.06E-05,4.57E+02
positive regulation of defense response (GO:0031349),0.36,2.07E-03,8.24E+02,0.38,2.07E-03,1.36E+02
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886),0.48,6.36E-03,6.51E+02,0.41,6.36E-03,6.51E+02
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495),0.48,6.81E-03,6.34E+02,0.38,6.81E-03,6.34E+02
positive regulation of chemotaxis (GO:0050921),0.31,6.20E-04,3.42E+02,0.88,3.37E-03,3.42E+02
extracellular matrix organization (GO:0030198),0.32,1.13E-03,1.05E+02,0.53,1.13E-03,3.98E+01
T cell receptor signaling pathway (GO:0050852),0.41,2.70E-03,1.16E+02,0.29,8.46E-04,5.79E+01
antigen processing and presentation of exogenous peptide antigen (GO:0002478),0.45,7.80E-03,6.10E+02,0.26,7.80E-03,6.10E+02
positive regulation of protein phosphorylation (GO:0001934),0.33,4.81E-03,5.19E+01,0.32,4.81E-03,5.19E+01
mRNA processing (GO:0006397),0.51,2.88E-06,7.02E+02,0.18,2.34E-08,3.67E+02
