,A549 SARS-CoV-2,A549 SARS-CoV-2,A549 SARS-CoV-2,NHBE SARS-CoV-2,NHBE SARS-CoV-2,NHBE SARS-CoV-2
,count,p-value,c-score,count,p-value,c-score
cytokine-mediated signaling pathway (GO:0019221),1.00,6.95E-03,6.06E+05,0.75,2.79E-04,6.06E+05
cellular response to interferon-gamma (GO:0071346),0.66,1.15E-07,5.61E+02,0.88,4.31E-03,3.97E+02
cellular response to cytokine stimulus (GO:0071345),0.61,2.50E-04,6.55E+05,0.92,2.50E-04,6.55E+05
inflammatory response (GO:0006954),0.45,5.30E-05,6.46E+02,0.75,3.90E-04,1.47E+02
protein modification by small protein removal (GO:0070646),0.49,7.88E-03,1.74E+02,0.46,7.88E-03,1.68E+02
regulation of immune response (GO:0050776),0.34,3.64E-07,7.11E+02,0.71,5.14E-03,1.85E+02
"mRNA splicing, via spliceosome (GO:0000398)",0.51,2.08E-06,7.38E+02,0.62,1.69E-04,6.89E+02
mRNA processing (GO:0006397),0.51,2.88E-06,7.02E+02,0.62,3.98E-04,6.99E+02
DNA metabolic process (GO:0006259),0.45,5.44E-04,2.63E+02,0.38,7.56E-04,4.22E+01
interferon-gamma-mediated signaling pathway (GO:0060333),0.54,1.03E-03,6.97E+02,0.38,9.63E-04,6.97E+02
epidermis development (GO:0008544),0.54,1.83E-04,1.44E+03,0.88,2.21E-22,2.15E+03
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",0.48,3.31E-06,7.02E+02,0.62,4.30E-04,6.75E+02
positive regulation of response to external stimulus (GO:0032103),0.39,3.65E-03,5.26E+02,0.67,1.82E-03,1.36E+02
chemokine-mediated signaling pathway (GO:0070098),0.39,6.02E-05,3.99E+03,0.67,1.55E-04,5.04E+02
DNA repair (GO:0006281),0.45,4.48E-03,3.13E+02,0.25,4.65E-03,3.81E+01
extracellular matrix organization (GO:0030198),0.32,1.13E-03,1.05E+02,1.00,3.31E-08,1.70E+02
neutrophil mediated immunity (GO:0002446),0.53,3.68E-03,2.39E+02,0.38,2.14E-24,1.93E+02
cellular response to DNA damage stimulus (GO:0006974),0.47,2.65E-03,1.29E+02,0.29,4.65E-03,1.10E+02
neutrophil activation involved in immune response (GO:0002283),0.49,6.01E-21,2.39E+02,0.50,9.44E-03,1.93E+02
neutrophil degranulation (GO:0043312),0.49,2.12E-21,2.46E+02,0.50,8.99E-03,2.00E+02
cellular response to chemokine (GO:1990869),0.36,8.06E-05,3.65E+03,0.62,1.94E-04,4.57E+02
protein ubiquitination (GO:0016567),0.45,9.45E-03,1.70E+02,0.29,9.45E-03,1.70E+02
cellular protein modification process (GO:0006464),0.49,1.52E-19,1.39E+02,0.29,1.93E-03,1.20E+02
antigen receptor-mediated signaling pathway (GO:0050851),0.49,6.48E-06,8.87E+01,0.67,3.95E-03,8.87E+01
defense response to symbiont (GO:0140546),0.39,7.76E-06,9.11E+05,0.38,7.76E-06,9.11E+05
