,p-value,Score
negative regulation of substrate adhesion-dependent cell spreading (GO:1900025),1.49E-02,3304.67
negative regulation of cell morphogenesis involved in differentiation (GO:0010771),1.49E-02,3304.67
protein localization to vacuole (GO:0072665),1.49E-02,3012.37
regulation of lymphocyte activation (GO:0051249),1.49E-02,2764.28
negative regulation of T cell receptor signaling pathway (GO:0050860),1.49E-02,2062.22
regulation of protein localization to cell periphery (GO:1904375),1.49E-02,1935.63
negative regulation of protein localization to plasma membrane (GO:1903077),1.49E-02,1822.54
negative regulation of protein localization to cell periphery (GO:1904376),1.49E-02,1822.54
negative regulation of interleukin-2 production (GO:0032703),1.49E-02,1720.94
negative regulation of antigen receptor-mediated signaling pathway (GO:0050858),1.49E-02,1470.20
negative regulation of protein localization to membrane (GO:1905476),1.49E-02,1400.90
regulation of calcium-mediated signaling (GO:0050848),1.49E-02,1278.76
regulation of B cell activation (GO:0050864),1.49E-02,1278.76
regulation of protein localization to membrane (GO:1905475),1.50E-02,1174.65
regulation of T cell receptor signaling pathway (GO:0050856),1.60E-02,971.56
regulation of sodium ion transport (GO:0002028),1.60E-02,938.42
negative regulation of cell-substrate adhesion (GO:0010812),1.68E-02,824.08
cellular response to tumor necrosis factor (GO:0071356),1.49E-02,773.33
regulation of interleukin-2 production (GO:0032663),1.85E-02,657.83
negative regulation of ERK1 and ERK2 cascade (GO:0070373),1.85E-02,625.39
regulation of substrate adhesion-dependent cell spreading (GO:1900024),1.85E-02,610.23
interferon-gamma-mediated signaling pathway (GO:0060333),2.35E-02,426.61
regulation of ion transport (GO:0043269),2.45E-02,353.55
response to interferon-gamma (GO:0034341),2.45E-02,348.01
regulation of protein localization to plasma membrane (GO:1903076),2.45E-02,348.01
