,p-value,Score
positive regulation of monocyte chemotactic protein-1 production (GO:0071639),4.06E-03,718.81
chronic inflammatory response (GO:0002544),2.24E-02,558.06
positive regulation of glial cell proliferation (GO:0060252),2.24E-02,558.06
positive regulation of heat generation (GO:0031652),2.24E-02,558.06
response to salt stress (GO:0009651),2.24E-02,558.06
regulation of fever generation (GO:0031620),2.24E-02,558.06
regulation of monocyte chemotactic protein-1 production (GO:0071637),8.10E-03,402.78
positive regulation of fever generation (GO:0031622),2.70E-02,395.36
ISG15-protein conjugation (GO:0032020),2.70E-02,395.36
positive regulation of histone phosphorylation (GO:0033129),2.70E-02,395.36
toll-like receptor 4 signaling pathway (GO:0034142),3.02E-03,312.35
positive regulation of gliogenesis (GO:0014015),3.17E-02,300.93
regulation of calcidiol 1-monooxygenase activity (GO:0060558),3.17E-02,300.93
negative regulation of MyD88-independent toll-like receptor signaling pathway (GO:0034128),3.17E-02,300.93
intermediate filament bundle assembly (GO:0045110),3.17E-02,300.93
positive regulation of granulocyte macrophage colony-stimulating factor production (GO:0032725),1.33E-02,268.34
interleukin-21-mediated signaling pathway (GO:0038114),3.55E-02,239.87
cellular response to interleukin-21 (GO:0098757),3.55E-02,239.87
vascular associated smooth muscle cell differentiation (GO:0035886),3.55E-02,239.87
regulation of MyD88-independent toll-like receptor signaling pathway (GO:0034127),3.55E-02,239.87
positive regulation of osteoclast differentiation (GO:0045672),1.57E-02,239.65
positive regulation of alpha-beta T cell proliferation (GO:0046641),1.60E-02,215.79
regulation of granulocyte macrophage colony-stimulating factor production (GO:0032645),1.60E-02,215.79
regulation of gap junction assembly (GO:1903596),4.07E-02,197.46
cellular response to interleukin-9 (GO:0071355),4.07E-02,197.46
