,p-value,Score
protein mono-ADP-ribosylation (GO:0140289),3.44E-06,980.50
type I interferon signaling pathway (GO:0060337),3.70E-14,833.99
cellular response to type I interferon (GO:0071357),3.70E-14,833.99
regulation of fever generation (GO:0031620),2.02E-03,819.46
positive regulation of glial cell proliferation (GO:0060252),2.02E-03,819.46
cytokine-mediated signaling pathway (GO:0019221),7.67E-24,420.28
interferon-gamma-mediated signaling pathway (GO:0060333),3.65E-09,372.42
negative regulation of viral genome replication (GO:0045071),3.35E-08,368.56
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway (GO:0002484),5.02E-03,358.52
"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent (GO:0002486)",5.02E-03,358.52
positive regulation of gliogenesis (GO:0014015),5.02E-03,358.52
positive regulation of podosome assembly (GO:0071803),5.02E-03,358.52
cellular response to interferon-gamma (GO:0071346),1.87E-11,354.96
negative regulation of viral process (GO:0048525),4.92E-09,353.10
interleukin-27-mediated signaling pathway (GO:0070106),3.24E-04,344.30
defense response to symbiont (GO:0140546),2.53E-11,339.26
receptor signaling pathway via STAT (GO:0097696),2.01E-05,337.92
positive regulation of epidermal growth factor-activated receptor activity (GO:0045741),1.26E-03,332.52
receptor signaling pathway via JAK-STAT (GO:0007259),6.49E-06,329.14
defense response to virus (GO:0051607),8.56E-11,297.98
protein auto-ADP-ribosylation (GO:0070213),1.74E-03,280.02
response to interferon-beta (GO:0035456),4.34E-05,273.57
interleukin-21-mediated signaling pathway (GO:0038114),6.94E-03,271.56
"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent (GO:0002480)",6.94E-03,271.56
cellular response to interleukin-21 (GO:0098757),6.94E-03,271.56
