,p-value,Score
ISG15-protein conjugation (GO:0032020),7.61E-03,869.12
macrophage chemotaxis (GO:0048246),1.20E-03,783.48
response to interferon-gamma (GO:0034341),1.20E-07,672.59
nicotinamide nucleotide biosynthetic process (GO:0019359),9.89E-03,666.41
regulation of natural killer cell chemotaxis (GO:2000501),9.89E-03,666.41
macrophage migration (GO:1905517),2.00E-03,548.36
eosinophil migration (GO:0072677),2.01E-03,495.85
eosinophil chemotaxis (GO:0048245),2.01E-03,495.85
lymphocyte migration (GO:0072676),8.21E-05,435.11
neutrophil chemotaxis (GO:0030593),8.53E-06,432.97
chemokine-mediated signaling pathway (GO:0070098),2.76E-05,412.00
granulocyte chemotaxis (GO:0071621),9.17E-06,406.08
lymphocyte chemotaxis (GO:0048247),1.24E-04,376.49
neutrophil migration (GO:1990266),1.11E-05,374.27
cellular response to chemokine (GO:1990869),3.60E-05,370.93
cellular response to interferon-gamma (GO:0071346),1.66E-06,355.72
type I interferon signaling pathway (GO:0060337),4.53E-05,328.36
cellular response to type I interferon (GO:0071357),4.53E-05,328.36
NAD biosynthetic process (GO:0009435),3.89E-03,327.14
monocyte chemotaxis (GO:0002548),2.00E-03,232.75
response to interferon-beta (GO:0035456),7.50E-03,212.45
inflammatory response (GO:0006954),1.66E-05,168.96
cytokine-mediated signaling pathway (GO:0019221),2.53E-07,161.46
negative regulation of viral genome replication (GO:0045071),3.87E-03,159.21
response to tumor necrosis factor (GO:0034612),7.93E-04,145.80
