,p-value,Score,Cluster
secondary alcohol biosynthetic process (GO:1902653),7.95E-16,1990.21,0
regulation of ribonuclease activity (GO:0060700),7.19E-05,1921.48,2
negative regulation of viral process (GO:0048525),2.57E-26,1907.45,2
negative regulation of viral genome replication (GO:0045071),8.48E-23,1896.45,2
cholesterol biosynthetic process (GO:0006695),7.95E-16,1858.91,0
sterol biosynthetic process (GO:0016126),2.75E-15,1541.71,0
defense response to symbiont (GO:0140546),9.30E-31,1498.91,2
type I interferon signaling pathway (GO:0060337),7.48E-22,1405.26,2
cellular response to type I interferon (GO:0071357),7.48E-22,1405.26,2
defense response to virus (GO:0051607),9.30E-31,1396.78,2
regulation of viral genome replication (GO:0045069),9.17E-19,1016.38,2
regulation of nuclease activity (GO:0032069),1.78E-04,880.78,2
positive regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902043),1.78E-04,880.78,2
cytokine-mediated signaling pathway (GO:0019221),9.36E-44,869.33,2
isopentenyl diphosphate biosynthetic process (GO:0009240),6.97E-03,735.60,0
negative regulation of lymphocyte differentiation (GO:0045620),3.64E-04,546.31,2
positive regulation of gliogenesis (GO:0014015),3.64E-04,546.31,2
positive regulation of vascular associated smooth muscle cell differentiation (GO:1905065),3.64E-04,546.31,2
negative regulation of innate immune response (GO:0045824),9.07E-10,500.91,2
cellular response to interferon-gamma (GO:0071346),2.10E-16,485.61,2
cellular response to cytokine stimulus (GO:0071345),3.66E-28,483.06,2
positive regulation of heat generation (GO:0031652),2.52E-03,479.71,2
exocyst localization (GO:0051601),2.52E-03,479.71,2
regulation of fever generation (GO:0031620),2.52E-03,479.71,2
positive regulation of glial cell proliferation (GO:0060252),2.52E-03,479.71,2
