,p-value,Score,Cluster,Value
regulation of calcidiol 1-monooxygenase activity (GO:0060558),1.83E-03,1610.66,1,"3 up, 0 down"
pantothenate metabolic process (GO:0015939),1.83E-03,1610.66,1,"3 up, 0 down"
cellular response to type I interferon (GO:0071357),1.95E-12,1330.17,2,"12 up, 0 down"
type I interferon signaling pathway (GO:0060337),1.95E-12,1330.17,2,"12 up, 0 down"
postsynaptic neurotransmitter receptor internalization (GO:0098884),9.96E-03,865.07,2,"2 up, 0 down"
postsynaptic endocytosis (GO:0140239),9.96E-03,865.07,2,"2 up, 0 down"
regulation of ribonuclease activity (GO:0060700),9.96E-03,865.07,2,"2 up, 0 down"
response to interferon-beta (GO:0035456),2.28E-06,830.41,2,"6 up, 0 down"
defense response to symbiont (GO:0140546),9.02E-12,717.21,2,"14 up, 0 down"
defense response to virus (GO:0051607),1.94E-11,641.59,2,"14 up, 0 down"
response to interferon-alpha (GO:0035455),2.93E-04,593.97,2,"4 up, 0 down"
negative regulation of viral genome replication (GO:0045071),4.90E-06,434.32,2,"7 up, 0 down"
regulation of lipid storage (GO:0010883),5.88E-04,430.27,2,"4 up, 0 down"
antiviral innate immune response (GO:0140374),3.39E-03,426.70,2,"3 up, 0 down"
cytokine-mediated signaling pathway (GO:0019221),9.05E-15,395.62,2,"28 up, 1 down"
interleukin-27-mediated signaling pathway (GO:0070106),3.68E-03,382.07,2,"3 up, 0 down"
negative regulation of type I interferon-mediated signaling pathway (GO:0060339),4.10E-03,344.91,2,"3 up, 0 down"
negative regulation of chemokine production (GO:0032682),4.81E-03,313.53,2,"3 up, 0 down"
regulation of viral genome replication (GO:0045069),2.03E-05,309.60,2,"7 up, 0 down"
negative regulation of viral process (GO:0048525),2.50E-05,289.01,2,"7 up, 0 down"
regulation of complement activation (GO:0030449),1.88E-03,233.87,1,"5 up, 0 down"
regulation of lipid storage (GO:0010883),9.15E-03,233.65,1,"3 up, 0 down"
inflammatory response (GO:0006954),3.32E-07,215.82,2,"12 up, 1 down"
positive regulation of NIK/NF-kappaB signaling (GO:1901224),1.88E-03,213.72,1,"5 up, 0 down"
cellular response to virus (GO:0098586),2.89E-03,208.65,2,"4 up, 0 down"
