,p-value
ENSMPUG00000013243,0.0
ENSMPUG00000018717,0.0
ENSMPUG00000018474,0.0
ENSMPUG00000008917,0.0
ENSMPUG00000005654,0.0
ENSMPUG00000025475,0.0
ENSMPUG00000019355,0.0
ENSMPUG00000016914,0.0
ENSMPUG00000027450,0.0
ENSMPUG00000012878,0.0
ENSMPUG00000007924,0.0
ENSMPUG00000023388,0.0
ENSMPUG00000001262,0.0
ENSMPUG00000007722,0.0
ENSMPUG00000007558,0.0
ENSMPUG00000003915,0.0
ENSMPUG00000015250,0.0
ENSMPUG00000019005,0.0
ENSMPUG00000006097,0.0
ENSMPUG00000001599,0.0
ENSMPUG00000003058,0.0
ENSMPUG00000027555,0.0
ENSMPUG00000004817,0.0
ENSMPUG00000027193,0.0
ENSMPUG00000002324,0.0
ENSMPUG00000012289,0.0
ENSMPUG00000006929,0.0
ENSMPUG00000003011,0.0
ENSMPUG00000016571,0.0
ENSMPUG00000028491,0.0023422014549556473
